GamePk,GameDate,GameTime,PlayerId,FullName,LastName,BatterStand,Side,Team,Opponent,BattingPosition,PlateAppearances,AtBats,Hits,Bases,Strikeouts,Walks,Singles,Doubles,Triples,HomeRuns,RBIs,Runs,StolenBaseAttempts,StolenBaseSuccesses,PointsDK,PointsFD,HomeRunProbability,HitProbability,StolenBaseProbability
823317,2026-04-12,4:10,691720,Kyle Karros,Karros,R,A,COL,SD ,9,3.614,3.181,0.575,0.866,1.213,0.367,0.414,0.097,0.0,0.064,0.24,0.28,0.045,0.034,4.318,5.642,0.063,0.458,0.033
823317,2026-04-12,4:10,696100,Hunter Goodman,Goodman,R,A,COL,SD ,3,4.24,3.784,0.675,1.275,1.414,0.355,0.396,0.111,0.015,0.153,0.367,0.352,0.047,0.036,5.72,7.516,0.141,0.51,0.035
823317,2026-04-12,4:10,701538,Jackson Merrill,Merrill,L,H,SD ,COL,3,4.345,3.901,1.01,1.7,0.845,0.34,0.661,0.161,0.037,0.152,0.559,0.562,0.123,0.095,7.995,10.444,0.143,0.666,0.091
823479,2026-04-12,1:35,543510,James McCann,McCann,R,A,ARI,PHI,7,4.003,3.629,0.914,1.444,0.956,0.276,0.621,0.171,0.007,0.115,0.459,0.43,0.032,0.027,6.388,8.304,0.11,0.629,0.026
823479,2026-04-12,1:35,545121,Ildemaro Vargas,Vargas,S,A,ARI,PHI,1,4.88,4.456,1.212,1.646,0.495,0.305,0.934,0.19,0.018,0.07,0.392,0.577,0.062,0.05,7.392,9.374,0.068,0.737,0.05
823479,2026-04-12,1:35,547180,Bryce Harper,Harper,L,H,PHI,ARI,3,4.351,3.698,0.956,1.677,0.771,0.564,0.592,0.182,0.006,0.176,0.588,0.575,0.092,0.071,8.304,11.052,0.16,0.645,0.069
823479,2026-04-12,1:35,571448,Nolan Arenado,Arenado,R,A,ARI,PHI,5,4.273,3.842,0.958,1.374,0.558,0.332,0.689,0.189,0.013,0.067,0.465,0.413,0.034,0.026,6.338,8.225,0.065,0.644,0.026
823479,2026-04-12,1:35,607208,Trea Turner,Turner,R,H,PHI,ARI,1,4.568,4.118,1.029,1.591,0.846,0.345,0.714,0.177,0.027,0.11,0.418,0.598,0.242,0.197,8.053,10.365,0.107,0.659,0.18
823479,2026-04-12,1:35,656941,Kyle Schwarber,Schwarber,L,H,PHI,ARI,2,4.487,3.523,0.79,1.615,1.222,0.882,0.403,0.164,0.009,0.214,0.526,0.667,0.038,0.03,8.543,11.645,0.195,0.583,0.029
823479,2026-04-12,1:35,664761,Alec Bohm,Bohm,R,H,PHI,ARI,7,4.0,3.532,0.994,1.397,0.531,0.369,0.734,0.18,0.016,0.064,0.441,0.412,0.041,0.032,6.47,8.35,0.062,0.657,0.03
